Key,Module,EN,CN,TC,JP,KR,RU,MX,PT,FR,DE,ID,VI,TH,IT
factory.notifications.conveyor_error,factory,Error recalculating conveyors. Building rotated but conveyors may need manual reconnection.,重新计算传送带时出错。建筑已旋转，但传送带可能需要手动重新连接。,重新計算傳送帶時出錯。建築已旋轉，但傳送帶可能需要手動重新連接。,コンベアの再計算中にエラーが発生しました。建物は回転しましたが、コンベアを手動で再接続する必要がある場合があります。,컨베이어 재계산 중 오류. 건물이 회전했지만 컨베이어를 수동으로 다시 연결해야 할 수 있습니다.,"Ошибка пересчета конвейеров. Здание повернуто, но конвейеры могут потребовать ручного переподключения.",Error al recalcular transportadores. Edificio rotado pero los transportadores pueden necesitar reconexión manual.,Erro de esteira,Erreur de convoyeur,Förderbandfehler,Error konveyor,Lỗi băng chuyền,ข้อผิดพลาดสายพาน,Errore nel ricalcolo dei nastri. Edificio ruotato ma i nastri potrebbero richiedere riconnessione manuale.
factory.notifications.created_new_save,factory,"Created new save ""{name}""","创建新存档 ""{name}""","創建新存檔 ""{name}""","新しいセーブ ""{name}"" を作成しました","새 저장 ""{name}"" 생성됨","Создано новое сохранение ""{name}""","Nueva partida creada ""{name}""",Novo save criado,Nouvelle sauvegarde créée,Neuer Speicherstand erstellt,Save baru dibuat,Đã tạo bản lưu mới,สร้างการบันทึกใหม่แล้ว,"Creato nuovo salvataggio ""{name}"""
factory.notifications.exported_json,factory,Factory exported to JSON file,工厂已导出为JSON文件,工廠已匯出為JSON檔案,工場をJSONファイルにエクスポートしました,공장을 JSON 파일로 내보냈습니다,Фабрика экспортирована в JSON файл,Fábrica exportada a archivo JSON,JSON exportado,JSON exporté,JSON exportiert,JSON diekspor,Đã xuất JSON vào clipboard,ส่งออก JSON ไปยังคลิปบอร์ดแล้ว,Fabbrica esportata in file JSON
factory.notifications.failed_to_delete,factory,Failed to delete save,删除存档失败,刪除存檔失敗,セーブの削除に失敗しました,저장 삭제 실패,Не удалось удалить сохранение,Error al eliminar partida,Falha ao excluir,Échec de la suppression,Löschen fehlgeschlagen,Gagal menghapus,Không thể xóa bản lưu,ไม่สามารถลบการบันทึกได้,Impossibile eliminare il salvataggio
factory.notifications.failed_to_export,factory,Failed to export factory,导出工厂失败,匯出工廠失敗,工場のエクスポートに失敗しました,공장 내보내기 실패,Не удалось экспортировать фабрику,Error al exportar fábrica,Falha ao exportar,Échec de l'exportation,Export fehlgeschlagen,Gagal mengekspor,Không thể xuất,ไม่สามารถส่งออกได้,Impossibile esportare la fabbrica
factory.notifications.failed_to_import,factory,Failed to import factory,导入工厂失败,匯入工廠失敗,工場のインポートに失敗しました,공장 가져오기 실패,Не удалось импортировать фабрику,Error al importar fábrica,Falha ao importar,Échec de l'importation,Import fehlgeschlagen,Gagal mengimpor,Không thể nhập,ไม่สามารถนำเข้าได้,Impossibile importare la fabbrica
factory.notifications.failed_to_load,factory,Failed to load game,加载游戏失败,加載遊戲失敗,ゲームの読み込みに失敗しました,게임 로드 실패,Не удалось загрузить игру,Error al cargar partida,Falha ao carregar,Échec du chargement,Laden fehlgeschlagen,Gagal memuat,Không thể tải,ไม่สามารถโหลดได้,Impossibile caricare il gioco
factory.notifications.failed_to_read_file,factory,Failed to read file,读取文件失败,讀取檔案失敗,ファイルの読み込みに失敗しました,파일 읽기 실패,Не удалось прочитать файл,Error al leer archivo,Falha ao ler arquivo,Échec de la lecture du fichier,Datei konnte nicht gelesen werden,Gagal membaca file,Không thể đọc tệp,ไม่สามารถอ่านไฟล์ได้,Impossibile leggere il file
factory.notifications.failed_to_rotate,factory,Failed to rotate building,旋转建筑失败,旋轉建築失敗,建物の回転に失敗しました,건물 회전 실패,Не удалось повернуть здание,Error al rotar edificio,Falha ao girar,Échec de la rotation,Drehen fehlgeschlagen,Gagal memutar,Không thể xoay công trình,ไม่สามารถหมุนอาคารได้,Impossibile ruotare l'edificio
factory.notifications.failed_to_save,factory,Failed to save game,保存游戏失败,保存遊戲失敗,ゲームの保存に失敗しました,게임 저장 실패,Не удалось сохранить игру,Error al guardar partida,Falha ao salvar,Échec de la sauvegarde,Speichern fehlgeschlagen,Gagal menyimpan,Không thể lưu,ไม่สามารถบันทึกได้,Impossibile salvare il gioco
factory.notifications.imported_json,factory,Factory imported successfully,工厂导入成功,工廠匯入成功,工場のインポートに成功しました,공장을 성공적으로 가져왔습니다,Фабрика успешно импортирована,Fábrica importada exitosamente,JSON importado,JSON importé,JSON importiert,JSON diimpor,Đã nhập thành công,นำเข้าสำเร็จ,Fabbrica importata con successo
factory.notifications.loaded,factory,"Loaded ""{name}""","已加载 ""{name}""","已加載 ""{name}""","""{name}"" を読み込みました","""{name}"" 로드됨","Загружено ""{name}""","Cargado ""{name}""",Carregado,Chargé,Geladen,Dimuat,Đã tải,โหลดแล้ว,"Caricato ""{name}"""
factory.notifications.new_grid_created,factory,New grid created with Sub-Automation Core,已创建新网格并带有子自动化核心,已創建新網格並帶有子自動化核心,サブ自動化コアで新しいグリッドを作成しました,서브 자동화 코어로 새 그리드 생성됨,Создана новая сетка с суб-автоматизацией ядра,Nueva cuadrícula creada con Núcleo de Sub-Automatización,Nova grade criada,Nouvelle grille créée,Neues Raster erstellt,Grid baru dibuat,Đã tạo lưới mới,สร้างกริดใหม่แล้ว,Nuova griglia creata con Nucleo Sub-Automazione
factory.notifications.output_cleared,factory,Output item cleared,输出物品已清除,輸出物品已清除,出力アイテムをクリアしました,출력 아이템이 제거되었습니다,Выходной предмет удален,Artículo de salida eliminado,Saída limpa,Sortie effacée,Ausgabe gelöscht,Output dihapus,Đã xóa đầu ra,ล้างเอาต์พุตแล้ว,Oggetto output cancellato
factory.notifications.output_selected,factory,Output item selected: {item},已选择输出物品：{item},已選擇輸出物品：{item},出力アイテムを選択しました：{item},출력 아이템이 선택되었습니다: {item},Выбран выходной предмет: {item},Artículo de salida seleccionado: {item},Saída selecionada,Sortie sélectionnée,Ausgabe ausgewählt,Output dipilih,Đã chọn đầu ra,เลือกเอาต์พุตแล้ว,Oggetto output selezionato: {item}
factory.notifications.please_enter_name,factory,Please enter a save name,请输入存档名称,請輸入存檔名稱,セーブ名を入力してください,저장 이름을 입력하세요,"Пожалуйста, введите имя сохранения",Por favor ingresa un nombre de partida,"Por favor, digite um nome",Veuillez entrer un nom,Bitte geben Sie einen Namen ein,Silakan masukkan nama,Vui lòng nhập tên,กรุณาใส่ชื่อ,Inserisci un nome per il salvataggio
factory.notifications.recipe_assigned,factory,Recipe assigned: {recipe},已分配配方：{recipe},已分配配方：{recipe},レシピを割り当てました：{recipe},레시피 할당됨: {recipe},Рецепт назначен: {recipe},Receta asignada: {recipe},Receita atribuída,Recette assignée,Rezept zugewiesen,Resep ditugaskan,Đã gán công thức,กำหนดสูตรแล้ว,Ricetta assegnata: {recipe}
factory.notifications.recipe_cleared,factory,Recipe cleared,配方已清除,配方已清除,レシピをクリアしました,레시피가 제거되었습니다,Рецепт удален,Receta eliminada,Receita limpa,Recette effacée,Rezept gelöscht,Resep dihapus,Đã xóa công thức,ล้างสูตรแล้ว,Ricetta cancellata
factory.notifications.save_deleted,factory,Save deleted,存档已删除,存檔已刪除,セーブを削除しました,저장 삭제됨,Сохранение удалено,Partida eliminada,Save excluído,Sauvegarde supprimée,Speicherstand gelöscht,Save dihapus,Đã xóa bản lưu,ลบการบันทึกแล้ว,Salvataggio eliminato
factory.notifications.saved_as,factory,"Saved as ""{name}""","已保存为 ""{name}""","已保存為 ""{name}""","""{name}"" として保存しました","""{name}""로 저장됨","Сохранено как ""{name}""","Guardado como ""{name}""",Salvo como,Sauvegardé sous,Gespeichert als,Disimpan sebagai,Đã lưu dưới tên,บันทึกเป็น,"Salvato come ""{name}"""
factory.notifications.saved_to,factory,"Saved to ""{name}""","已保存到 ""{name}""","已保存到 ""{name}""","""{name}"" に保存しました","""{name}""에 저장됨","Сохранено в ""{name}""","Guardado en ""{name}""",Salvo em,"Sauvegardé dans ""{name}""","Gespeichert in ""{name}""",Disimpan ke,Đã lưu vào,บันทึกไปยัง,"Salvato in ""{name}"""
factory.online_benefits,factory,Access your saves from any device and share with the community,从任何设备访问存档并与社区分享,從任何裝置存取存檔並與社群分享,どのデバイスからでもアクセスでき、コミュニティと共有できます,모든 기기에서 저장 파일에 접근하고 커뮤니티와 공유,Получайте доступ к сохранениям с любого устройства и делитесь с сообществом,Accede a tus guardados desde cualquier dispositivo y comparte con la comunidad,Benefícios Online,Avantages en Ligne,Online-Vorteile,Manfaat Online,"Lưu trực tuyến: Truy cập từ mọi nơi, chia sẻ với người khác","บันทึกออนไลน์: เข้าถึงได้จากทุกที่, แชร์กับผู้อื่น",Accedi ai tuoi salvataggi da qualsiasi dispositivo e condividi con la community
factory.online_saves,factory,Online,在线,線上,オンライン,온라인,Онлайн,En línea,Saves Online,Sauvegardes en Ligne,Online-Speicherstände,Save Online,Lưu trực tuyến,การบันทึกออนไลน์,Online
factory.output,factory,Output,输出,輸出,出力,출력,Выход,Salida,Saída,Sortie,Ausgabe,Output,Đầu ra,เอาต์พุต,Output
factory.output_buffer,factory,Output Buffer,输出缓冲,輸出緩衝區,出力バッファ,출력 버퍼,Выходной Буфер,Buffer de Salida,Buffer de Saída,Tampon de Sortie,Ausgabepuffer,Buffer Output,Bộ đệm đầu ra,บัฟเฟอร์เอาต์พุต,Buffer Output
factory.output_conveyors,factory,Output Conveyors,输出传送带,輸出傳送帶,出力コンベア,출력 컨베이어,Выходные Конвейеры,Transportadores de Salida,Esteiras de Saída,Convoyeurs de Sortie,Ausgabe-Förderbänder,Konveyor Output,Băng chuyền đầu ra,สายพานเอาต์พุต,Nastri Output
factory.output_item,factory,Output Item,输出物品,輸出物品,出力アイテム,출력 아이템,Выходной Предмет,Artículo de Salida,Item de Saída,Objet de Sortie,Ausgabegegenstand,Item Output,Vật phẩm đầu ra,ไอเทมเอาต์พุต,Oggetto Output
factory.overview,factory,Overview,概览,概覽,概要,개요,Обзор,Resumen,Visão Geral,Aperçu,Übersicht,Ikhtisar,Tổng quan,ภาพรวม,Panoramica
factory.pan,factory,Pan,平移,平移,パン,이동,Панорама,Desplazar,Panorâmica,Déplacer,Schwenken,Geser,Kéo,เลื่อน,Panoramica
factory.per_minute,factory,per minute,每分钟,每分鐘,毎分,분당,в минуту,por minuto,por minuto,par minute,pro Minute,per menit,mỗi phút,ต่อนาที,al minuto
factory.place_building,factory,Place Building,放置建筑,放置建築,建物を配置,건물 배치,Разместить Здание,Colocar Edificio,Colocar Construção,Placer le Bâtiment,Gebäude platzieren,Tempatkan Bangunan,Đặt công trình,วางอาคาร,Posiziona Edificio
factory.plan_deleted,factory,Plan deleted successfully!,方案删除成功！,方案已刪除！,プランを削除しました！,플랜이 삭제되었습니다!,План удалён!,¡Plan eliminado!,Plano excluído,Plan supprimé,Plan gelöscht,Rencana dihapus,Đã xóa kế hoạch,ลบแผนแล้ว,Piano eliminato con successo!
factory.plan_loaded,factory,Plan loaded successfully!,方案加载成功！,方案已載入！,プランを読み込みました！,플랜이 로드되었습니다!,План загружен!,¡Plan cargado!,Plano carregado,Plan chargé,Plan geladen,Rencana dimuat,Đã tải kế hoạch,โหลดแผนแล้ว,Piano caricato con successo!
factory.plan_saved,factory,Plan saved successfully!,方案保存成功！,方案已儲存！,プランを保存しました！,플랜이 저장되었습니다!,План сохранён!,¡Plan guardado!,Plano salvo,Plan sauvegardé,Plan gespeichert,Rencana disimpan,Đã lưu kế hoạch,บันทึกแผนแล้ว,Piano salvato con successo!
factory.plan_updated,factory,Plan updated successfully!,方案更新成功！,方案已更新！,プランを更新しました！,플랜이 업데이트되었습니다!,План обновлён!,¡Plan actualizado!,Plano atualizado,Plan mis à jour,Plan aktualisiert,Rencana diperbarui,Đã cập nhật kế hoạch,อัปเดตแผนแล้ว,Piano aggiornato con successo!
factory.planner.feature_buildings_desc,factory,"Access all factory buildings with detailed information, recipes, and production stats",访问所有工厂建筑，包含详细信息、配方和生产统计数据,訪問所有工廠建築，包含詳細信息、配方和生產統計數據,すべての工場建物に詳細情報、レシピ、生産統計でアクセス,"상세 정보, 레시피 및 생산 통계가 포함된 모든 공장 건물에 액세스","Доступ ко всем заводским зданиям с подробной информацией, рецептами и статистикой производства","Accede a todos los edificios de fábrica con información detallada, recetas y estadísticas de producción",Coloque e configure construções de fábrica,Placez et configurez tous les bâtiments d'usine du jeu,Platzieren und konfigurieren Sie alle Fabrikgebäude aus dem Spiel,Tempatkan dan konfigurasi bangunan pabrik,Đặt và cấu hình tất cả công trình nhà máy,วางและกำหนดค่าอาคารโรงงานทั้งหมด,"Accedi a tutti gli edifici della fabbrica con informazioni dettagliate, ricette e statistiche di produzione"
factory.planner.feature_buildings_title,factory,Building Library,建筑库,建築庫,建物ライブラリ,건물 라이브러리,Библиотека зданий,Biblioteca de Edificios,Construções,Bâtiments Complets,Komplette Gebäude,Bangunan,Tất cả công trình,อาคารทั้งหมด,Libreria Edifici
factory.planner.feature_community_desc,factory,Browse and learn from factory layouts shared by other players (coming soon),浏览和学习其他玩家分享的工厂布局（即将推出）,瀏覽和學習其他玩家分享的工廠佈局（即將推出）,他のプレイヤーが共有した工場レイアウトを閲覧して学ぶ（近日公開）,다른 플레이어가 공유한 공장 레이아웃을 탐색하고 배우기 (곧 출시),"Просматривайте и учитесь на планировках фабрик, которыми поделились другие игроки (скоро)",Navega y aprende de diseños de fábrica compartidos por otros jugadores (próximamente),Compartilhe e descubra designs de fábrica,Partagez vos plans avec la communauté et découvrez les créations des autres,Teilen Sie Ihre Pläne mit der Community und entdecken Sie die Kreationen anderer,Bagikan dan temukan desain pabrik,Chia sẻ và duyệt bản thiết kế cộng đồng,แชร์และเรียกดูบลูพริ้นท์ชุมชน,Sfoglia e impara dai layout di fabbrica condivisi da altri giocatori (prossimamente)
factory.planner.feature_community_title,factory,Community Plans,社区计划,社區計劃,コミュニティプラン,커뮤니티 계획,Планы сообщества,Planes de la Comunidad,Comunidade,Partage Communautaire,Community-Sharing,Komunitas,Bản thiết kế cộng đồng,บลูพริ้นท์ชุมชน,Piani Community
factory.planner.feature_conveyors_desc,factory,Connect buildings with intelligent conveyor routing that detects errors and suggests fixes,使用智能传送带路由连接建筑物，可检测错误并提供修复建议,使用智能傳送帶路由連接建築物，可檢測錯誤並提供修復建議,エラーを検出し修正を提案するインテリジェントなコンベヤルーティングで建物を接続,오류를 감지하고 수정을 제안하는 지능형 컨베이어 라우팅으로 건물 연결,"Соединяйте здания с интеллектуальной маршрутизацией конвейеров, которая обнаруживает ошибки и предлагает исправления",Conecta edificios con enrutamiento inteligente de cintas transportadoras que detecta errores y sugiere correcciones,Conecte construções com esteiras,Connectez les bâtiments avec des convoyeurs pour le transport des objets,Verbinden Sie Gebäude mit Förderbändern für den Gegenstandstransport,Hubungkan bangunan dengan konveyor,Thiết kế và tối ưu hệ thống băng chuyền,ออกแบบและปรับปรุงระบบสายพานลำเลียง,Collega gli edifici con routing intelligente dei nastri che rileva errori e suggerisce correzioni
factory.planner.feature_conveyors_title,factory,Smart Conveyors,智能传送带,智能傳送帶,スマートコンベヤ,스마트 컨베이어,Умные конвейеры,Cintas Transportadoras Inteligentes,Esteiras,Système de Convoyeurs,Förderbandsystem,Konveyor,Hệ thống băng chuyền,ระบบสายพานลำเลียง,Nastri Intelligenti
factory.planner.feature_grid_desc,factory,Place buildings and conveyors on a customizable grid with full pan and zoom support,在可自定义的网格上放置建筑物和传送带，支持完整的平移和缩放,在可自定義的網格上放置建築物和傳送帶，支持完整的平移和縮放,パンとズーム機能を備えたカスタマイズ可能なグリッドに建物とコンベヤを配置,팬 및 줌 기능을 갖춘 맞춤형 그리드에 건물과 컨베이어 배치,Размещайте здания и конвейеры на настраиваемой сетке с полной поддержкой панорамирования и масштабирования,Coloca edificios y cintas transportadoras en una cuadrícula personalizable con soporte completo de panorámica y zoom,Planeje seu layout em uma grade,Planifiez vos usines sur une grille redimensionnable,Planen Sie Ihre Fabriken auf einem skalierbaren Raster,Rencanakan layout Anda di grid,Sử dụng lưới isometric để lập kế hoạch bố trí,ใช้กริด isometric เพื่อวางแผนเลย์เอาต์,Posiziona edifici e nastri su una griglia personalizzabile con supporto completo per panoramica e zoom
factory.planner.feature_grid_title,factory,Interactive Grid,交互式网格,交互式網格,インタラクティブグリッド,인터랙티브 그리드,Интерактивная сетка,Cuadrícula Interactiva,Grade,Éditeur de Grille,Raster-Editor,Grid,Lưới isometric,กริด Isometric,Griglia Interattiva
factory.planner.feature_save_desc,factory,Save your factory layouts locally and share them with the community,在本地保存您的工厂布局并与社区分享,在本地保存您的工廠佈局並與社群分享,工場レイアウトをローカルに保存し、コミュニティと共有,공장 레이아웃을 로컬에 저장하고 커뮤니티와 공유,Сохраняйте планировки фабрик локально и делитесь ими с сообществом,Guarda tus diseños de fábrica localmente y compártelos con la comunidad,Salve e carregue seus designs,Sauvegardez localement ou en ligne pour accéder à vos plans partout,"Speichern Sie lokal oder online, um überall auf Ihre Pläne zuzugreifen",Simpan dan muat desain Anda,Lưu và tải thiết kế cục bộ hoặc trực tuyến,บันทึกและโหลดการออกแบบในเครื่องหรือออนไลน์,Salva i layout della tua fabbrica localmente e condividili con la community
factory.planner.feature_save_title,factory,Save & Load,保存和加载,保存和加載,保存と読み込み,저장 및 로드,Сохранение и загрузка,Guardar y Cargar,Salvar/Carregar,Sauvegarder et Charger,Speichern und Laden,Simpan/Muat,Lưu & tải,บันทึก & โหลด,Salva e Carica
factory.planner.feature_stats_desc,factory,"Real-time production statistics, bottleneck detection, and optimization suggestions",实时生产统计、瓶颈检测和优化建议,實時生產統計、瓶頸檢測和優化建議,リアルタイム生産統計、ボトルネック検出、最適化提案,"실시간 생산 통계, 병목 현상 감지 및 최적화 제안","Статистика производства в реальном времени, обнаружение узких мест и предложения по оптимизации","Estadísticas de producción en tiempo real, detección de cuellos de botella y sugerencias de optimización",Veja estatísticas de produção em tempo real,Visualisez les statistiques de production en temps réel,Visualisieren Sie Produktionsstatistiken in Echtzeit,Lihat statistik produksi real-time,Xem tốc độ sản xuất và hiệu suất theo thời gian thực,ดูอัตราการผลิตและประสิทธิภาพแบบเรียลไทม์,"Statistiche di produzione in tempo reale, rilevamento colli di bottiglia e suggerimenti di ottimizzazione"
factory.planner.feature_stats_title,factory,Production Analytics,生产分析,生產分析,生産分析,생산 분석,Аналитика производства,Análisis de Producción,Estatísticas,Stats de Production,Produktions-Stats,Statistik,Thống kê sản xuất,สถิติการผลิต,Analisi Produzione
factory.planner.features_subtitle,factory,Everything you need to plan your perfect AIC factory,规划完美AIC工厂所需的一切,規劃完美AIC工廠所需的一切,完璧なAIC工場を計画するために必要なすべて,완벽한 AIC 공장을 계획하는 데 필요한 모든 것,Все необходимое для планирования идеальной фабрики AIC,Todo lo que necesitas para planificar tu fábrica AIC perfecta,Tudo que você precisa para planejar sua fábrica,Tout ce dont vous avez besoin pour planifier votre usine parfaite,"Alles, was Sie brauchen, um Ihre perfekte Fabrik zu planen",Semua yang Anda butuhkan untuk merencanakan pabrik,Tất cả những gì bạn cần để thiết kế nhà máy hoàn hảo,ทุกสิ่งที่คุณต้องการเพื่อออกแบบโรงงานที่สมบูรณ์แบบ,Tutto ciò che ti serve per pianificare la tua fabbrica AIC perfetta
factory.planner.features_title,factory,Features,功能,功能,機能,기능,Возможности,Características,Funcionalidades,Fonctionnalités,Funktionen,Fitur,Tính năng trình lập kế hoạch,คุณสมบัติตัววางแผน,Funzionalità
factory.planner.report_issues,factory,Report Issues & Ideas,报告问题和想法,報告問題和想法,問題とアイデアを報告,문제 및 아이디어 보고,Сообщить о проблемах и идеях,Reportar Problemas e Ideas,Reportar Problemas,Signaler un Problème,Problem melden,Laporkan Masalah,Báo cáo vấn đề,รายงานปัญหา,Segnala Problemi e Idee
factory.planner.start_planning,factory,Start Planning,开始规划,開始規劃,プランニング開始,계획 시작,Начать планирование,Comenzar a Planificar,Começar a Planejar,Commencer à Planifier,Planung starten,Mulai Merencanakan,Bắt đầu lập kế hoạch,เริ่มวางแผน,Inizia a Pianificare
factory.planner.subtitle,factory,Design and optimize your AIC (Automated Industry Complex) factory layouts with an interactive grid-based planner,使用交互式网格规划器设计和优化您的AIC（自动化工业综合体）工厂布局,使用交互式網格規劃器設計和優化您的AIC（自動化工業綜合體）工廠佈局,インタラクティブなグリッドベースプランナーでAIC（自動化産業複合体）工場レイアウトを設計・最適化,인터랙티브 그리드 기반 플래너로 AIC (자동화 산업 단지) 공장 레이아웃을 설계하고 최적화하세요,Проектируйте и оптимизируйте планировки фабрик AIC (Автоматизированный Промышленный Комплекс) с интерактивным планировщиком на основе сетки,Diseña y optimiza tus diseños de fábrica AIC (Complejo Industrial Automatizado) con un planificador interactivo basado en cuadrícula,Planeje e otimize seu layout de fábrica,Planifiez et optimisez vos usines AIC,Planen und optimieren Sie Ihre AIC-Fabriken,Rencanakan dan optimalkan layout pabrik Anda,Thiết kế và tối ưu hóa bố trí nhà máy của bạn,ออกแบบและปรับปรุงเลย์เอาต์โรงงานของคุณ,Progetta e ottimizza i layout della tua fabbrica AIC (Complesso Industriale Automatizzato) con un pianificatore interattivo basato su griglia
factory.planner.wip_message,factory,This tool is still in active development. Please report any issues or share your ideas in our Discord community!,此工具仍在积极开发中。请在我们的Discord社区报告任何问题或分享您的想法！,此工具仍在積極開發中。請在我們的Discord社群報告任何問題或分享您的想法！,このツールは現在開発中です。問題を報告したり、アイデアを共有したりする場合は、Discordコミュニティをご利用ください！,이 도구는 현재 개발 중입니다. Discord 커뮤니티에서 문제를 보고하거나 아이디어를 공유해주세요!,"Этот инструмент все еще находится в активной разработке. Пожалуйста, сообщайте о любых проблемах или делитесь своими идеями в нашем Discord-сообществе!",Esta herramienta todavía está en desarrollo activo. ¡Por favor reporta cualquier problema o comparte tus ideas en nuestra comunidad de Discord!,Esta ferramenta está em desenvolvimento ativo,Certaines fonctionnalités sont encore en développement,Einige Funktionen sind noch in Entwicklung,Alat ini dalam pengembangan aktif,Công cụ này đang trong giai đoạn phát triển. Một số tính năng có thể chưa đầy đủ.,เครื่องมือนี้อยู่ระหว่างการพัฒนา บางคุณสมบัติอาจยังไม่สมบูรณ์,Questo strumento è ancora in sviluppo attivo. Segnala problemi o condividi le tue idee nella nostra community Discord!
factory.planner.wip_title,factory,Work in Progress,开发中,開發中,開発中,개발 중,В разработке,Trabajo en Progreso,Trabalho em Progresso,En Cours de Développement,In Entwicklung,Sedang Dikerjakan,Đang phát triển,กำลังพัฒนา,Lavori in Corso
factory.port_config,factory,Configure Ports,配置端口,設定連接埠,ポート設定,포트 설정,Настройка портов,Configurar Puertos,Configuração de Porta,Configuration des Ports,Port-Konfiguration,Konfigurasi Port,Cấu hình cổng,กำหนดค่าพอร์ต,Configura Porte
factory.port_config_hint,factory,Click on an output port to assign an item. Items entering via input ports are consumed.,点击输出端口分配物品。输入端口的物品将被消耗。,點擊輸出端口分配物品。輸入端口的物品將被消耗。,出力ポートをクリックしてアイテムを割り当てます。入力ポートに入るアイテムは消費されます。,출력 포트를 클릭하여 아이템을 할당하세요. 입력 포트로 들어오는 아이템은 소비됩니다.,Нажмите на выходной порт для назначения предмета. Предметы на входных портах потребляются.,Haz clic en un puerto de salida para asignar un artículo. Los artículos que entran por los puertos de entrada se consumen.,Configure as portas de entrada e saída,Configurez les entrées et sorties du bâtiment,Konfigurieren Sie die Eingaben und Ausgaben des Gebäudes,Konfigurasi port input dan output,Cấu hình cổng đầu vào/đầu ra,กำหนดค่าพอร์ตอินพุต/เอาต์พุต,Clicca su una porta di output per assegnare un oggetto. Gli oggetti in ingresso dalle porte input vengono consumati.
factory.power,factory,Power,电力,電力,電力,전력,Энергия,Energía,Energia,Énergie,Energie,Daya,Năng lượng,พลังงาน,Energia
factory.power_consumed,factory,Power Consumed,电力消耗,電力消耗,消費電力,소비 전력,Потребляемая Мощность,Energía Consumida,Energia Consumida,Énergie Consommée,Energie verbraucht,Daya Dikonsumsi,Năng lượng tiêu thụ,พลังงานที่ใช้,Energia Consumata
factory.power_warning,factory,Insufficient Power!,电力不足！,電力不足！,電力不足！,전력 부족!,Недостаточно Энергии!,¡Energía Insuficiente!,Aviso de Energia,Avertissement d'Énergie,Energiewarnung,Peringatan Daya,Cảnh báo năng lượng,คำเตือนพลังงาน,Energia Insufficiente!
factory.produced,factory,Produced/min,生产/分钟,生產/分鐘,生産/分,생산/분,Произведено/мин,Producido/min,Produzido,Produit/min,Produziert/min,Diproduksi,Sản xuất,ผลิต,Prodotti/min
factory.produced_by,factory,Produced by,生产者,生產者,生産者,생산자,Производитель,Producido por,Produzido por,Produit par,Produziert von,Diproduksi oleh,Sản xuất bởi,ผลิตโดย,Prodotto da
factory.producing,factory,Producing,正在生产,正在生產,生産中,생산 중,Производит,Produciendo,Produzindo,En Production,Produziert,Memproduksi,Đang sản xuất,กำลังผลิต,In Produzione
factory.production_chain,factory,Production Chain,生产链,生產鏈,生産チェーン,생산 체인,Производственная Цепь,Cadena de Producción,Cadeia de Produção,Chaîne de Production,Produktionskette,Rantai Produksi,Chuỗi sản xuất,สายการผลิต,Catena Produttiva
factory.production_depth,factory,Production Depth,生产深度,生產深度,生産深度,생산 깊이,Глубина Производства,Profundidad de Producción,Profundidade de Produção,Profondeur de Production,Produktionstiefe,Kedalaman Produksi,Độ sâu sản xuất,ความลึกการผลิต,Profondità Produzione
factory.production_flow,factory,Production Flow,生产流程,生產流程,生産フロー,생산 흐름,Производственный Поток,Flujo de Producción,Fluxo de Produção,Flux de Production,Produktionsfluss,Alur Produksi,Luồng sản xuất,การไหลของการผลิต,Flusso Produzione
factory.production_flows,factory,Production Flows,生产流程,生產流程,生産フロー,생산 흐름,Производственные потоки,Flujos de Producción,Fluxos de Produção,Flux de Production,Produktionsflüsse,Alur Produksi,Các luồng sản xuất,การไหลของการผลิต,Flussi di Produzione
factory.production_imbalance,factory,Production Imbalance,生产不平衡,生產不平衡,生産不均衡,생산 불균형,Дисбаланс Производства,Desequilibrio de Producción,Desequilíbrio de Produção,Déséquilibre de Production,Produktionsungleichgewicht,Ketidakseimbangan Produksi,Mất cân bằng sản xuất,ความไม่สมดุลการผลิต,Squilibrio Produzione
factory.production_rate,factory,Production rate,生产速率,生產速率,生産速度,생산 속도,Скорость Производства,Tasa de Producción,Taxa de Produção,Taux de Production,Produktionsrate,Tingkat Produksi,Tốc độ sản xuất,อัตราการผลิต,Tasso di produzione
factory.production_statistics,factory,Production Statistics,生产统计,生產統計,生産統計,생산 통계,Статистика Производства,Estadísticas de Producción,Estatísticas de Produção,Statistiques de Production,Produktionsstatistik,Statistik Produksi,Thống kê sản xuất,สถิติการผลิต,Statistiche Produzione
factory.production_stats_note,factory,All rates shown are per minute. Net = Produced - Consumed.,所有速率以每分钟显示。净值 = 生产 - 消耗。,所有速率以每分鐘顯示。淨值 = 生產 - 消耗。,すべてのレートは1分あたりで表示されます。正味 = 生産 - 消費。,모든 비율은 분당으로 표시됩니다. 순 = 생산 - 소비.,Все показатели указаны в минуту. Чистый = Произведено - Потреблено.,Todas las tasas se muestran por minuto. Neto = Producido - Consumido.,Nota: Estatísticas de produção,Les statistiques sont basées sur les calculs théoriques,Statistiken basieren auf theoretischen Berechnungen,Catatan: Statistik produksi,Thống kê dựa trên cấu hình hiện tại,สถิติตามการกำหนดค่าปัจจุบัน,Tutti i tassi mostrati sono al minuto. Netto = Prodotto - Consumato.
factory.production_summary,factory,Summary,摘要,摘要,概要,요약,Сводка,Resumen,Resumo de Produção,Résumé de Production,Produktionszusammenfassung,Ringkasan Produksi,Tóm tắt sản xuất,สรุปการผลิต,Riepilogo
